product,uses,search_term_amazon_fresh_uk,asin,example_recipe_wording
"Tuna steak or tinned tuna",1,"Tuna steak or tinned tuna",,"Tuna steak or tinned tuna"
"Turkey mince",1,"Turkey mince",,"Turkey mince"
"Unsweetened applesauce",1,"Unsweetened applesauce",,"Unsweetened applesauce"
"Vanilla custard powder",1,"Vanilla custard powder",,"Vanilla custard powder"
"Vegan mayo",1,"Vegan mayo",,"Vegan mayo"
"Waxy potatoes",1,"Waxy potatoes",,"Waxy potatoes"
"White beans",1,"White beans",,"White beans (tin)"
"White miso paste",1,"White miso paste",,"White miso paste"
"White rice",1,"White rice",,"White rice"
"Wholegrain mustard",1,"Wholegrain mustard",,"Wholegrain mustard"
"Wholemeal flour",1,"Wholemeal flour",,"Wholemeal flour"
"Worcestershire sauce",1,"Worcestershire sauce",,"Worcestershire sauce (optional)"
"Za'atar",1,"Za'atar",,"Za'atar"
